40	20
20	3
17	44	931.597609
17	45	931.597609
17	46	931.597609
17	47	931.597609
17	48	931.597609
18	44	931.597609
18	45	931.597609
18	46	931.597609
18	47	931.597609
18	48	931.597609
19	44	931.597609
19	45	931.597609
19	46	931.597609
19	47	931.597609
19	48	931.597609
20	44	931.597609
20	45	931.597609
20	46	931.597609
20	47	931.597609
20	48	931.597609
21	44	931.597609
21	45	931.597609
21	46	931.597609
21	47	931.597609
21	48	931.597609
6	17	672.907491
6	18	672.907491
6	19	672.907491
6	20	672.907491
6	21	672.907491
7	17	672.907491
7	18	672.907491
7	19	672.907491
7	20	672.907491
7	21	672.907491
8	17	672.907491
8	18	672.907491
8	19	672.907491
8	20	672.907491
8	21	672.907491
9	17	672.907491
9	18	672.907491
9	19	672.907491
9	20	672.907491
9	21	672.907491
10	17	672.907491
10	18	672.907491
10	19	672.907491
10	20	672.907491
10	21	672.907491
32	32	1541.257008
32	33	1541.257008
32	34	1541.257008
32	35	1541.257008
32	36	1541.257008
32	37	1541.257008
32	38	1541.257008
32	39	1541.257008
32	40	1541.257008
33	32	1541.257008
33	33	1541.257008
33	34	1541.257008
33	35	1541.257008
33	36	1541.257008
33	37	1541.257008
33	38	1541.257008
33	39	1541.257008
33	40	1541.257008
34	32	1541.257008
34	33	1541.257008
34	34	1541.257008
34	35	1541.257008
34	36	1541.257008
34	37	1541.257008
34	38	1541.257008
34	39	1541.257008
34	40	1541.257008
35	32	1541.257008
35	33	1541.257008
35	34	1541.257008
35	35	1541.257008
35	36	1541.257008
35	37	1541.257008
35	38	1541.257008
35	39	1541.257008
35	40	1541.257008
36	32	1541.257008
36	33	1541.257008
36	34	1541.257008
36	35	1541.257008
36	36	1541.257008
36	37	1541.257008
36	38	1541.257008
36	39	1541.257008
36	40	1541.257008
37	32	1541.257008
37	33	1541.257008
37	34	1541.257008
37	35	1541.257008
37	36	1541.257008
37	37	1541.257008
37	38	1541.257008
37	39	1541.257008
37	40	1541.257008
38	32	1541.257008
38	33	1541.257008
38	34	1541.257008
38	35	1541.257008
38	36	1541.257008
38	37	1541.257008
38	38	1541.257008
38	39	1541.257008
38	40	1541.257008
39	32	1541.257008
39	33	1541.257008
39	34	1541.257008
39	35	1541.257008
39	36	1541.257008
39	37	1541.257008
39	38	1541.257008
39	39	1541.257008
39	40	1541.257008
40	32	1541.257008
40	33	1541.257008
40	34	1541.257008
40	35	1541.257008
40	36	1541.257008
40	37	1541.257008
40	38	1541.257008
40	39	1541.257008
40	40	1541.257008
19	11	1355.458475
19	12	1355.458475
19	13	1355.458475
19	14	1355.458475
19	15	1355.458475
19	16	1355.458475
19	17	1355.458475
20	11	1355.458475
20	12	1355.458475
20	13	1355.458475
20	14	1355.458475
20	15	1355.458475
20	16	1355.458475
20	17	1355.458475
21	11	1355.458475
21	12	1355.458475
21	13	1355.458475
21	14	1355.458475
21	15	1355.458475
21	16	1355.458475
21	17	1355.458475
22	11	1355.458475
22	12	1355.458475
22	13	1355.458475
22	14	1355.458475
22	15	1355.458475
22	16	1355.458475
22	17	1355.458475
23	11	1355.458475
23	12	1355.458475
23	13	1355.458475
23	14	1355.458475
23	15	1355.458475
23	16	1355.458475
23	17	1355.458475
24	11	1355.458475
24	12	1355.458475
24	13	1355.458475
24	14	1355.458475
24	15	1355.458475
24	16	1355.458475
24	17	1355.458475
25	11	1355.458475
25	12	1355.458475
25	13	1355.458475
25	14	1355.458475
25	15	1355.458475
25	16	1355.458475
25	17	1355.458475
27	14	1195.644084
27	15	1195.644084
27	16	1195.644084
27	17	1195.644084
27	18	1195.644084
27	19	1195.644084
27	20	1195.644084
27	21	1195.644084
27	22	1195.644084
27	23	1195.644084
28	14	1195.644084
28	15	1195.644084
28	16	1195.644084
28	17	1195.644084
28	18	1195.644084
28	19	1195.644084
28	20	1195.644084
28	21	1195.644084
28	22	1195.644084
28	23	1195.644084
29	14	1195.644084
29	15	1195.644084
29	16	1195.644084
29	17	1195.644084
29	18	1195.644084
29	19	1195.644084
29	20	1195.644084
29	21	1195.644084
29	22	1195.644084
29	23	1195.644084
30	14	1195.644084
